Rank,Country,Points
1,Germany,1558
2,Brazil,1431
3,Belgium,1298
4,Portugal,1274
5,Argentina,1241
6,Switzerland,1199
7,France,1198
8,Poland,1183
9,Chile,1135
10,Spain,1126
11,Peru,1125
12,Denmark,1051
13,England,1051
14,Uruguay,1018
15,Mexico,989
16,Colombia,986
17,Netherlands,981
18,Wales,953
19,Italy,951
20,Croatia,945
21,Tunisia,910
22,Iceland,908
23,Costa Rica,884
24,Sweden,880
25,USA,873
26,Austria,845
27,Senegal,838
28,Slovakia,804
29,Northern Ireland,803
30,Romania,782
31,Republic of Ireland,777
32,Paraguay,773
33,Venezuela,755
34,Serbia,751
35,Ukraine,733
36,Australia,718
37,Iran,708
38,Turkey,706
39,Congo DR,706
40,Bosnia and Herzegovina,693
41,Morocco,686
42,Scotland,660
43,Montenegro,652
44,Greece,650
45,Egypt,649
46,Czech Republic,641
47,Ghana,624
48,Nigeria,618
49,Bulgaria,614
50,Cameroon,614
